Keyword,Match type,Impr.,Interactions,Interaction rate,Conv. rate
"""Parker real estate agent""",Phrase match,7,0,0.00%,0.00%
"""Fraser realtor""",Phrase match,3,0,0.00%,0.00%
"""tips for selling home""",Phrase match,585,4,0.68%,0.00%
"""cheap realtors""",Phrase match,50,3,6.00%,33.33%
"""faira real estate""",Phrase match,0,0, --,0.00%
"""Erie real estate agent""",Phrase match,0,0, --,0.00%
"""Westminster real estate agent""",Phrase match,12,0,0.00%,0.00%
"""find a realtor""",Phrase match,141,2,1.42%,0.00%
"""Sheridan real estate agent""",Phrase match,0,0, --,0.00%
"""Erie realtor""",Phrase match,2,0,0.00%,0.00%
"""Sedalia realtor""",Phrase match,0,0, --,0.00%
[faira reviews],Exact match,1,0,0.00%,0.00%
"""best realtors""",Phrase match,608,10,1.64%,10.00%
"""Central City realtor""",Phrase match,0,0, --,0.00%
"""Greenwood Village real estate agent""",Phrase match,0,0, --,0.00%
"""selling a house""",Phrase match,"44,980",870,1.93%,8.51%
"""Lafayette real estate agent""",Phrase match,2,0,0.00%,0.00%
"""local realtors""",Phrase match,66,3,4.55%,0.00%
"""top rated realtors""",Phrase match,7,0,0.00%,0.00%
"""Nederland real estate agent""",Phrase match,0,0, --,0.00%
"""Elizabeth real estate agent""",Phrase match,7,0,0.00%,0.00%
"""list of real estate agents""",Phrase match,21,0,0.00%,0.00%
[fair real estate],Exact match,1,0,0.00%,0.00%
[rex realty],Exact match,"6,265","2,304",36.78%,4.81%
[redefy real estate],Exact match,1,0,0.00%,0.00%
"""Roswell realtor""",Phrase match,22,1,4.55%,0.00%
"""Villa Rica realtor""",Phrase match,1,0,0.00%,0.00%
"""Statham real estate agent""",Phrase match,0,0, --,0.00%
[reviews of haus],Exact match,0,0, --,0.00%
[haus real estate],Exact match,1,0,0.00%,0.00%
[haus realty],Exact match,0,0, --,0.00%
"""Fairburn realtor""",Phrase match,0,0, --,0.00%
"""haus haus""",Phrase match,0,0, --,0.00%
[agent rex],Exact match,867,98,11.30%,7.14%
"""Jasper real estate agent""",Phrase match,1,0,0.00%,0.00%
 +coldwell +banker +houses +for +sale +near +me,Broad match,0,0, --,0.00%
"""North Decatur real estate agent""",Phrase match,0,0, --,0.00%
"""Tyrone real estate agent""",Phrase match,0,0, --,0.00%
[redefy reviews],Exact match,0,0, --,0.00%
[rexhome],Exact match,"1,799",813,45.19%,10.82%
"""Grantville real estate agent""",Phrase match,0,0, --,0.00%
"""help with foreclosure""",Phrase match,5,0,0.00%,0.00%
 +haus +number,Broad match,1,0,0.00%,0.00%
"""Canton real estate agent""",Phrase match,4,0,0.00%,0.00%
 +coldwell +banker +houses +for +sale,Broad match,0,0, --,0.00%
"""offerpad competitors""",Phrase match,0,0, --,0.00%
[haus plus],Exact match,0,0, --,0.00%
 +coldwell +banker +homes +for +sale,Broad match,0,0, --,0.00%
[rex real estate exchange],Exact match,"1,964",542,27.60%,1.48%
"""Rex realtor""",Phrase match,95,16,16.84%,6.25%
"""White real estate agent""",Phrase match,17,1,5.88%,0.00%
"""haus office""",Phrase match,0,0, --,0.00%
[rex realtor],Exact match,"1,147",458,39.93%,5.90%
"""Oxford real estate agent""",Phrase match,1,0,0.00%,0.00%
"""haus real estate reviews""",Phrase match,0,0, --,0.00%
[rex residential property owner],Exact match,85,18,21.18%,0.00%
"""Lithia Springs real estate agent""",Phrase match,0,0, --,0.00%
 +haus +rex,Broad match,1,0,0.00%,0.00%
[rex houses for sale],Exact match,"1,373",342,24.91%,1.46%
 +haus +agents,Broad match,0,0, --,0.00%
"""Pine Lake realtor""",Phrase match,3,0,0.00%,0.00%
 +redefy,Broad match,12,0,0.00%,0.00%
[selling with offerpad],Exact match,1,0,0.00%,0.00%
"""Riverdale real estate agent""",Phrase match,6,0,0.00%,0.00%
[is offerpad a good deal],Exact match,2,0,0.00%,0.00%
 +haus +office,Broad match,0,0, --,0.00%
 +killer +realtor,Broad match,18,1,5.56%,0.00%
 +redfin +competitors,Broad match,6,0,0.00%,0.00%
 +value +house,Broad match,"54,678","4,263",7.80%,8.87%
"""home bay reviews""",Phrase match,1,0,0.00%,0.00%
 +redfin +agent +reviews,Broad match,4,0,0.00%,0.00%
 +how +much +does +my +house +cost,Broad match,464,42,9.05%,3.97%
 +find +what +my +property +is +worth,Broad match,409,53,12.96%,5.66%
"""Menlo Park real estate agent""",Phrase match,5,0,0.00%,0.00%
 +how +much +is +my +house,Broad match,"1,043",160,15.34%,10.63%
 +Keller +Williams +home +value,Broad match,0,0, --,0.00%
 +home +bay,Broad match,906,12,1.32%,0.00%
 +redfin +estimate,Broad match,118,1,0.85%,0.00%
"""Orland Park realtor""",Phrase match,60,1,1.67%,0.00%
"""Sonoma real estate agent""",Phrase match,14,0,0.00%,0.00%
 +internet +real +estate +agents,Broad match,176,16,9.09%,18.75%
"""selling a home through redfin""",Phrase match,0,0, --,0.00%
"""trelora""",Phrase match,8,0,0.00%,0.00%
"""Union City real estate agent""",Phrase match,1,0,0.00%,0.00%
 +value +house,Broad match,"5,957",472,7.92%,10.70%
"""selling with redfin reviews""",Phrase match,0,0, --,0.00%
"""Santa Clara real estate agent""",Phrase match,15,1,6.67%,0.00%
 +free +real +estate +agents,Broad match,20,1,5.00%,0.00%
"""Oak Lawn real estate agent""",Phrase match,21,0,0.00%,0.00%
