Keyword,Match type,Impr.,Interactions,Interaction rate,Conv. rate
"""trelora real estate reviews""",Phrase match,0,0, --,0.00%
 +trelora +com,Broad match,0,0, --,0.00%
 +house +appraisal +online,Broad match,52,9,17.31%,44.44%
"""low commission real estate""",Phrase match,92,9,9.78%,22.22%
 +property +value +estimate,Broad match,304,30,9.87%,10.00%
 +current +market +value +of +my +property,Broad match,318,49,15.41%,8.16%
"""redfin cost""",Phrase match,2,0,0.00%,0.00%
[trelora reviews],Exact match,15,0,0.00%,0.00%
 +what +is +home +bay,Broad match,1,0,0.00%,0.00%
 +list +of +real +estate +agents,Broad match,831,43,5.17%,9.30%
 +what's +my +property +worth,Broad match,"1,572",214,13.61%,19.39%
"""Redwood City realtor""",Phrase match,50,4,8.00%,0.00%
"""discount realtors""",Phrase match,"1,178",94,7.98%,14.89%
"""find a realtor""",Phrase match,229,5,2.18%,20.00%
 +home +bay +estate +agents,Broad match,1,0,0.00%,0.00%
[selling a home through redfin],Exact match,2,0,0.00%,0.00%
 +my +house +price,Broad match,524,45,8.59%,15.56%
 +Keller +Williams +for +sale +by +owner,Broad match,0,0, --,0.00%
 +redfin +sold +properties,Broad match,4,0,0.00%,0.00%
"""internet real estate agents""",Phrase match,3,2,66.67%,0.00%
 +Keller +Williams +realty,Broad match,77,1,1.30%,0.00%
"""selling house with redfin""",Phrase match,2,0,0.00%,0.00%
 +property +worth,Broad match,"1,729",123,7.11%,13.01%
 +what +can +i +get +for +my +house,Broad match,27,4,14.81%,50.00%
 +how +much +is +your +house +worth,Broad match,"4,387",640,14.59%,17.81%
 +what +is +my +home +worth,Broad match,"12,777","1,244",9.74%,15.05%
 +home +values,Broad match,"10,853",715,6.59%,7.55%
 +Redfin +mortgage +rates,Broad match,0,0, --,0.00%
 +how +much +can +i +sell +my +house +for,Broad match,568,37,6.51%,14.86%
"""Oakland realtor""",Phrase match,220,4,1.82%,25.00%
 +redfin +rex,Broad match,6,0,0.00%,0.00%
"""trelora listings""",Phrase match,0,0, --,0.00%
"""house value""",Phrase match,"24,934","2,320",9.30%,11.88%
"""home value""",Phrase match,"83,114","5,534",6.66%,11.15%
"""redfin agents near me""",Phrase match,7,0,0.00%,0.00%
[selling through redfin],Exact match,26,2,7.69%,0.00%
[selling your home with redfin],Exact match,14,0,0.00%,0.00%
 +value of +my +house,Broad match,"1,194",157,13.15%,14.01%
"""redfin fee""",Phrase match,5,1,20.00%,0.00%
"""Monte Sereno realtor""",Phrase match,0,0, --,0.00%
 +trelora +real,Broad match,0,0, --,0.00%
 +find +a +realtor,Broad match,"9,502",176,1.85%,10.23%
 +www +Keller +Williams +com,Broad match,1,1,100.00%,0.00%
"""Hackensack real estate agent""",Phrase match,5,0,0.00%,0.00%
[home bay com],Exact match,0,0, --,0.00%
"""redfin seller reviews""",Phrase match,0,0, --,0.00%
"""discount realtor""",Phrase match,21,1,4.76%,0.00%
 +top +rated +realtors,Broad match,789,11,1.39%,0.00%
[redfin agent fees],Exact match,37,1,2.70%,0.00%
"""Clayton realtor""",Phrase match,46,2,4.35%,0.00%
 +get +an +estimate +on +my +house,Broad match,132,16,12.12%,25.00%
"""selling your house with redfin""",Phrase match,0,0, --,0.00%
"""engel and volkers real estate""",Phrase match,1,0,0.00%,0.00%
"""how much my house worth""",Phrase match,493,91,18.46%,21.98%
"""redfin selling reviews""",Phrase match,1,0,0.00%,0.00%
,,"6,328,170","423,504",6.69%,6.78%
,,"3,929,744","29,810",0.76%,2.18%
,,"245,025,916","8,292,939",3.38%,1.36%
,,"27,903,697","1,248,303",4.47%,6.07%
,,"196,410,596","3,971,362",2.02%,0.19%
,,"6,924,711","2,758,839",39.84%,0.01%
,,"9,971,594","162,306",1.63%,0.23%
,,"3,815,318","152,129",3.99%,19.34%
