number of sales,number of listings
5205.521460179463,8252.795932048988
6491.997550347815,7241.099630414526
5023.383357127156,8777.541480444354
5671.833873994943,4569.849675494504
5620.7564656075965,8109.647128106914
5674.873467684751,3955.7210036587303
5502.787714405715,8687.590337793552
4262.970761208875,11257.31124853785
4193.544942670742,13276.999747335864
5008.918555478739,12840.920648762023
5378.111133231811,11394.733791761344
5876.431746818924,5004.814783737314
4338.9406405066875,8565.047083262236
5342.689811957866,7421.391826427597
5319.471475527852,8768.469488268964
5988.363002330742,12521.096703217912
5678.58826838632,11184.028823253257
5135.161743324574,5079.5895187247315
5784.156172808123,13682.856058115596
5557.863526922748,6585.675095808471
5706.875019532532,6049.600968192801
5830.241925652243,5595.094163788384
4209.178244420051,6247.943757198091
3877.433504149749,7141.775063911097
4272.16821103082,3879.264512483923
4859.952179068183,2729.3314061077417
5966.376720926359,9605.754493696162
5101.417654689237,6541.374555389102
5813.767229120864,6323.006513371286
5382.087028494547,11082.170110376443
4779.984242194864,1511.6449636426032
5043.390753892559,8572.105011255619
5118.716198223539,10881.14681087733
4684.928071209992,8637.44192639824
5223.8347605571935,12923.261275360595
5590.977652415053,9367.699420112669
5122.761623162267,6462.733352787602
5991.163638642569,6958.544888562009
4036.4043185320506,6358.653291225438
5048.035563062633,7118.218402933425
6091.377693542134,8109.987413745192
4381.754454464904,8137.63069476878
5260.588864380427,12418.716799254518
4442.19269639354,7916.720195038668
4994.523577253058,4940.442795263174
5701.584840584067,5679.027667404717
5173.576276322899,7293.1187651767095
3925.233969165371,15007.581412283724
4271.603680939088,9086.1702381324
5316.689702277467,5730.124156677492
