number of sales,number of listings
7783.07302886278,8167.2217061356305
8727.658879618572,12777.198655562428
5652.19030285091,5701.167402245098
6910.600253115703,11872.07401321304
6835.64578719525,5938.845143962423
8131.7403733202855,14170.877894657267
6359.117793569743,13304.081593054529
5272.547144997226,3690.91972061796
6515.149061355733,10672.734237890489
5998.55085868665,17360.508318837423
7814.415021211947,14823.36906645208
6418.467835809146,10015.329298096647
7326.029890024108,13015.668748480164
7487.391730513436,11376.878051833008
6962.820489966672,16373.989168978464
7721.850807361301,23080.968282338083
7637.403337534692,12570.44750635491
6657.54266584853,6199.314642064163
8625.992552126736,13436.167630505224
6991.4816784500545,8974.757537611564
6718.911089673108,9812.955472890662
7071.063742141614,10011.48398026203
4651.53106103262,8927.61919058265
6075.5265255421255,9716.023331768534
6499.753691982358,10139.62541454854
6738.135052635596,8577.90694723731
8062.70647789979,12845.85910311318
6298.804668780595,7964.062946520584
6484.849781413526,11860.858996960713
7395.279195201003,14893.523864830087
7331.8169347288185,7148.0663527930255
6125.92292410027,4051.357435151465
7896.6531569018625,12779.19205693146
5862.565964504199,14797.899575481413
4930.1560817139225,13603.802133521007
5931.661743092172,16592.26119389896
6401.42774981492,10751.635671091353
6494.9429646370845,8385.546076549823
5638.750619527102,6811.240722277099
7022.599747270782,11690.534505889382
7417.922998835487,17357.500797416684
6806.796211632173,11114.100455014046
6414.604665716016,14341.370823876823
6129.842119552537,5258.239384031402
6540.626693950658,7577.604899614618
7250.658208431658,397.56413157326915
4941.643072602615,6951.789076495662
6252.954119712457,12527.898834033276
5629.279642504321,16979.91426588201
8662.276290424263,11911.639535000573
