,number of sales,number of listings
0,7483.893196734363,11597.172349790419
1,7597.392954249983,12176.817840653612
2,7598.941806090486,7757.639171258403
3,7261.118135707611,13303.237287878332
4,6931.668946806061,12838.671792044182
5,7798.005343160306,7297.6759290856935
6,8117.492376094019,11311.726148241572
7,6633.789965150708,13091.857340103095
8,7091.486170264057,13904.153679831541
9,7369.370802617135,8369.817644893783
10,7887.015902310638,10135.511713864791
11,7554.252263286794,9514.658857974788
12,8003.393054244544,9694.999712404111
13,7335.0957153602385,10726.903660548678
14,7159.242438965751,10768.534042996853
15,7343.391928968618,11092.477049218935
16,7734.628281306142,9200.848360224269
17,7748.633993571904,13626.0
18,7518.911073207865,11984.46329281212
19,6234.1771922005355,10216.829325227689
20,6847.978058333457,8647.99908828637
21,7582.5171767318025,11535.46930424371
22,7929.503469263929,11224.871172085528
23,7817.513463574719,7219.012360378004
24,7972.524627786862,10867.641775241966
25,7552.96481098828,10728.059147381644
26,7975.545579724737,11402.857045477846
27,7309.593882179959,10903.020096995051
28,6875.171060278672,9227.244846023308
29,8023.17466354534,4514.748430069489
30,7174.5734151825245,13135.285420455246
31,7780.53032085503,11038.12961882606
32,7216.816590874547,9866.553131875618
33,7515.2893117398,9809.724473587637
34,7537.818042781995,11158.451065948995
35,7877.798714246424,13468.350383827139
36,7329.703323892176,10536.81096685968
37,7652.126657753178,11307.177788592093
38,7279.638777008442,12234.583107398936
39,7701.855248300028,10282.448339305976
40,7458.278298001937,9128.983150956768
41,8327.507876029842,10644.891982901314
42,8186.038539918239,12263.434878930826
43,6961.392828967848,11601.804937659559
44,7349.6985735137905,12284.442584319722
45,6703.640949497689,9081.680888890634
46,7781.669486691146,9643.602331517322
47,8582.43806809796,13626.0
48,8459.873110261124,13626.0
49,7594.439282665453,10674.296701314706
