DATE,SMU08197400500000003SA
2016-02-01,29.2376443681864
2016-03-01,29.121115679601804
2016-04-01,29.0559148944497
2016-05-01,29.3176872426058
2016-06-01,29.0061691133952
2016-07-01,28.8952412539417
2016-08-01,28.8116274018704
2016-09-01,28.7199601650687
2016-10-01,29.1872895798453
2016-11-01,28.8336895790159
2016-12-01,28.703273452428103
2017-01-01,28.417102402122197
2017-02-01,28.483132864686304
2017-03-01,28.336824827302397
2017-04-01,28.6353501331548
2017-05-01,28.406285477015
2017-06-01,28.2808101970679
2017-07-01,28.929345605486603
2017-08-01,28.9380015613895
2017-09-01,29.0733709441214
2017-10-01,29.1198836049582
2017-11-01,29.3258716367833
2017-12-01,29.475542285461103
2018-01-01,29.642196763517397
2018-02-01,29.7669160368799
2018-03-01,29.752216531638304
2018-04-01,29.9730003701513
2018-05-01,29.4678772016919
2018-06-01,30.0000239932446
2018-07-01,30.299261589457604
2018-08-01,30.6587298119911
2018-09-01,30.8608217483998
2018-10-01,31.0284795754919
2018-11-01,31.2507525429359
2018-12-01,31.4083516891188
2019-01-01,31.843238049372502
2019-02-01,31.358404503228
2019-03-01,32.0643694726054
2019-04-01,32.0087526553223
2019-05-01,32.1905937865553
2019-06-01,32.5210982638061
2019-07-01,32.5406919153265
2019-08-01,32.412840897174895
2019-09-01,32.8335938836907
2019-10-01,32.693396275233496
2019-11-01,32.6928886655718
2019-12-01,32.9459939741579
2020-01-01,32.7728877342115
2020-02-01,32.981364383316
2020-03-01,33.1095687507731
2020-04-01,33.6410608368785
2020-05-01,33.5656993319104
2020-06-01,32.7239654045016
2020-07-01,33.1779173290862
2020-08-01,33.2934983651346
2020-09-01,33.322761239671394
2020-10-01,33.3586691409304
