DATE,DENV708BPPRIVSA
2016-03-01,1358.08927127269
2016-04-01,1532.26106714199
2016-05-01,2241.19924317403
2016-06-01,1258.2992787752
2016-07-01,1557.79015367406
2016-08-01,1494.7000697803
2016-09-01,1930.6509547452
2016-10-01,2442.4759020552
2016-11-01,2349.5752989541
2016-12-01,1451.48536244634
2017-01-01,2045.17923734495
2017-02-01,2110.996346451
2017-03-01,2071.86229796264
2017-04-01,2370.69630349524
2017-05-01,1483.0773736466
2017-06-01,2591.00088671584
2017-07-01,1825.2070032782299
2017-08-01,2134.40888830339
2017-09-01,1390.83851861345
2017-10-01,1280.85803923139
2017-11-01,1877.6173444132899
2017-12-01,1004.47843436065
2018-01-01,2180.8603806216397
2018-02-01,2213.0059523434697
2018-03-01,3165.0884068288397
2018-04-01,1601.63929405617
2018-05-01,1790.5047366315698
2018-06-01,1397.7358497738699
2018-07-01,1262.68164193165
2018-08-01,1213.2814892719
2018-09-01,2334.6479118668103
2018-10-01,1329.08111154312
2018-11-01,2085.99247093495
2018-12-01,1878.05527618772
2019-01-01,1652.24529612134
2019-02-01,1141.0204757639199
2019-03-01,1580.6379924993
2019-04-01,1559.84197362355
2019-05-01,1877.5468408417898
2019-06-01,1784.0765403608398
2019-07-01,1932.9132173458302
2019-08-01,1547.6590806831698
2019-09-01,1068.91855308099
2019-10-01,2056.97378387657
2019-11-01,1234.43892718605
2019-12-01,2156.81352113851
2020-01-01,1578.35187665275
2020-02-01,1491.9452367499402
2020-03-01,1055.4991880752802
2020-04-01,1395.82833715207
2020-05-01,1079.23318983017
2020-06-01,1614.4817252200598
2020-07-01,1630.28715315146
2020-08-01,2057.1575548596697
2020-09-01,2108.0635734592897
2020-10-01,1954.9661419494898
