DATE,SMU08197400500000011SA
2016-03-01,1005.4943973962401
2016-04-01,1003.53557842377
2016-05-01,1031.81429175695
2016-06-01,1001.05592500151
2016-07-01,1002.48580043031
2016-08-01,1000.0552021907301
2016-09-01,995.2035113522569
2016-10-01,1031.3790767313901
2016-11-01,997.0948839750309
2016-12-01,991.628268391249
2017-01-01,1000.86640283955
2017-02-01,993.845378655141
2017-03-01,989.235930724166
2017-04-01,1019.3828265205499
2017-05-01,1017.73465204511
2017-06-01,1018.62029746556
2017-07-01,1043.4955033199199
2017-08-01,1028.86655932836
2017-09-01,1027.68825427151
2017-10-01,1038.99728103885
2017-11-01,1033.30518507646
2017-12-01,1031.81381964595
2018-01-01,1033.8350444641999
2018-02-01,1036.87930522825
2018-03-01,1046.54214845075
2018-04-01,1061.08538027635
2018-05-01,1032.2517644227198
2018-06-01,1047.55951331258
2018-07-01,1055.41335862463
2018-08-01,1054.6441235533198
2018-09-01,1079.00704103173
2018-10-01,1059.2658148974401
2018-11-01,1058.1837099035902
2018-12-01,1082.0929064909599
2019-01-01,1072.13003832376
2019-02-01,1064.02716771226
2019-03-01,1059.29728702417
2019-04-01,1063.5459253793401
2019-05-01,1081.21674347215
2019-06-01,1124.1961197788
2019-07-01,1098.5977548419198
2019-08-01,1090.6874422254
2019-09-01,1135.42084164183
2019-10-01,1101.5640454107902
2019-11-01,1110.02389792846
2019-12-01,1133.94765061771
2020-01-01,1119.8491445858199
2020-02-01,1144.67222970713
2020-03-01,1153.07633765409
2020-04-01,1146.57293538373
2020-05-01,1166.26216145454
2020-06-01,1141.85780362946
2020-07-01,1141.2974639287
2020-08-01,1178.20941168068
2020-09-01,1151.73361895784
