DATE,DENV708BP1FHSA
2016-03-01,849.0039551361549
2016-04-01,825.727158092088
2016-05-01,780.248762285985
2016-06-01,806.9871575750631
2016-07-01,874.31462022991
2016-08-01,913.0067117964461
2016-09-01,906.829651544454
2016-10-01,922.7956859467411
2016-11-01,924.226979816073
2016-12-01,996.433042333874
2017-01-01,754.0821568707299
2017-02-01,899.1206543613761
2017-03-01,946.871882177094
2017-04-01,794.439087030405
2017-05-01,880.37091780795
2017-06-01,969.1284599603281
2017-07-01,858.520409754788
2017-08-01,934.3631724412061
2017-09-01,940.731656355609
2017-10-01,947.3850676583161
2017-11-01,948.09427677933
2017-12-01,1033.9215490086
2018-01-01,1040.56288708846
2018-02-01,1021.25284988557
2018-03-01,1055.6699907615302
2018-04-01,1114.83640107318
2018-05-01,1028.13075325579
2018-06-01,956.4106938909121
2018-07-01,882.1908927612869
2018-08-01,951.928541112643
2018-09-01,900.582863955555
2018-10-01,1079.97024338482
2018-11-01,975.7112610443139
2018-12-01,752.817145352455
2019-01-01,875.779015141409
2019-02-01,826.8067163507151
2019-03-01,769.535539696311
2019-04-01,908.968743386617
2019-05-01,966.128437374064
2019-06-01,860.267058377508
2019-07-01,1009.9302253364999
2019-08-01,1165.90612784811
2019-09-01,870.549922614007
2019-10-01,802.375327821788
2019-11-01,881.5317453331661
2019-12-01,1100.03828959166
2020-01-01,936.2555172108141
2020-02-01,873.012434816689
2020-03-01,806.5375563495539
2020-04-01,652.2260702266819
2020-05-01,646.3389375187539
2020-06-01,942.962498409409
2020-07-01,1164.74261021326
2020-08-01,888.5799934220689
2020-09-01,1007.27563770631
2020-10-01,1058.4187920255001
