DATE,MORTGAGE5US
2016-03-03,2.84
2016-03-10,2.92
2016-03-17,2.93
2016-03-24,2.89
2016-03-31,2.90
2016-04-07,2.82
2016-04-14,2.84
2016-04-21,2.81
2016-04-28,2.86
2016-05-05,2.80
2016-05-12,2.78
2016-05-19,2.80
2016-05-26,2.87
2016-06-02,2.88
2016-06-09,2.82
2016-06-16,2.74
2016-06-23,2.74
2016-06-30,2.70
2016-07-07,2.68
2016-07-14,2.76
2016-07-21,2.78
2016-07-28,2.78
2016-08-04,2.73
2016-08-11,2.74
2016-08-18,2.76
2016-08-25,2.75
2016-09-01,2.83
2016-09-08,2.81
2016-09-15,2.82
2016-09-22,2.80
2016-09-29,2.81
2016-10-06,2.80
2016-10-13,2.82
2016-10-20,2.85
2016-10-27,2.84
2016-11-03,2.87
2016-11-10,2.88
2016-11-17,3.07
2016-11-23,3.12
2016-12-01,3.15
2016-12-08,3.17
2016-12-15,3.19
2016-12-22,3.32
2016-12-29,3.30
2017-01-05,3.33
2017-01-12,3.23
2017-01-19,3.21
2017-01-26,3.20
2017-02-02,3.23
2017-02-09,3.21
2017-02-16,3.18
2017-02-23,3.16
2017-03-02,3.14
2017-03-09,3.23
2017-03-16,3.28
2017-03-23,3.24
2017-03-30,3.18
2017-04-06,3.19
2017-04-13,3.18
2017-04-20,3.10
2017-04-27,3.12
2017-05-04,3.13
2017-05-11,3.14
2017-05-18,3.13
2017-05-25,3.07
2017-06-01,3.11
2017-06-08,3.11
2017-06-15,3.15
2017-06-22,3.14
2017-06-29,3.17
2017-07-06,3.21
2017-07-13,3.28
2017-07-20,3.21
2017-07-27,3.18
2017-08-03,3.15
2017-08-10,3.14
2017-08-17,3.16
2017-08-24,3.17
2017-08-31,3.14
2017-09-07,3.15
2017-09-14,3.13
2017-09-21,3.17
2017-09-28,3.20
2017-10-05,3.18
2017-10-12,3.16
2017-10-19,3.17
2017-10-26,3.21
2017-11-02,3.23
2017-11-09,3.22
2017-11-16,3.21
2017-11-22,3.22
2017-11-30,3.32
2017-12-07,3.35
2017-12-14,3.36
2017-12-21,3.39
2017-12-28,3.47
2018-01-04,3.45
2018-01-11,3.46
2018-01-18,3.46
2018-01-25,3.52
2018-02-01,3.53
2018-02-08,3.57
2018-02-15,3.63
2018-02-22,3.65
2018-03-01,3.62
2018-03-08,3.63
2018-03-15,3.67
2018-03-22,3.68
2018-03-29,3.66
2018-04-05,3.62
2018-04-12,3.61
2018-04-19,3.67
2018-04-26,3.74
2018-05-03,3.69
2018-05-10,3.77
2018-05-17,3.82
2018-05-24,3.87
2018-05-31,3.8
2018-06-07,3.74
2018-06-14,3.83
2018-06-21,3.83
2018-06-28,3.87
2018-07-05,3.74
2018-07-12,3.86
2018-07-19,3.87
2018-07-26,3.87
2018-08-02,3.93
2018-08-09,3.9
2018-08-16,3.87
2018-08-23,3.82
2018-08-30,3.85
2018-09-06,3.93
2018-09-13,3.93
2018-09-20,3.92
2018-09-27,3.97
2018-10-04,4.01
2018-10-11,4.07
2018-10-18,4.1
2018-10-25,4.14
2018-11-01,4.04
2018-11-08,4.14
2018-11-15,4.14
2018-11-21,4.09
2018-11-29,4.12
2018-12-06,4.07
2018-12-13,4.04
2018-12-20,3.98
2018-12-27,4.0
2019-01-03,3.98
2019-01-10,3.83
2019-01-17,3.87
2019-01-24,3.9
2019-01-31,3.96
2019-02-07,3.91
2019-02-14,3.88
2019-02-21,3.84
2019-02-28,3.84
2019-03-07,3.87
2019-03-14,3.84
2019-03-21,3.84
2019-03-28,3.75
2019-04-04,3.66
2019-04-11,3.8
2019-04-18,3.78
2019-04-25,3.77
2019-05-02,3.68
2019-05-09,3.63
2019-05-16,3.66
2019-05-23,3.68
2019-05-30,3.6
2019-06-06,3.52
2019-06-13,3.51
2019-06-20,3.48
2019-06-27,3.39
2019-07-03,3.45
2019-07-11,3.46
2019-07-18,3.48
2019-07-25,3.47
2019-08-01,3.46
2019-08-08,3.36
2019-08-15,3.35
2019-08-22,3.32
2019-08-29,3.31
2019-09-05,3.3
2019-09-12,3.36
2019-09-19,3.49
2019-09-26,3.38
2019-10-03,3.38
2019-10-10,3.35
2019-10-17,3.35
2019-10-24,3.4
2019-10-31,3.43
2019-11-07,3.39
2019-11-14,3.44
2019-11-21,3.39
2019-11-27,3.43
2019-12-05,3.39
2019-12-12,3.36
2019-12-19,3.37
2019-12-26,3.45
2020-01-02,3.46
2020-01-09,3.3
2020-01-16,3.39
2020-01-23,3.28
2020-01-30,3.24
2020-02-06,3.32
2020-02-13,3.28
2020-02-20,3.25
2020-02-27,3.2
2020-03-05,3.18
2020-03-12,3.01
2020-03-19,3.11
2020-03-26,3.34
2020-04-02,3.4
2020-04-09,3.4
2020-04-16,3.34
2020-04-23,3.28
2020-04-30,3.14
2020-05-07,3.17
2020-05-14,3.18
2020-05-21,3.17
2020-05-28,3.13
2020-06-04,3.1
2020-06-11,3.1
2020-06-18,3.09
2020-06-25,3.08
2020-07-02,3.0
2020-07-09,3.02
2020-07-16,3.06
2020-07-23,3.09
2020-07-30,2.94
2020-08-06,2.9
2020-08-13,2.9
2020-08-20,2.91
2020-08-27,2.91
2020-09-03,2.93
2020-09-10,3.11
2020-09-17,2.96
2020-09-24,2.9
2020-10-01,2.9
2020-10-08,2.89
2020-10-15,2.9
2020-10-22,2.87
2020-10-29,2.88
2020-11-05,2.89
