"zip","city","county","pop"
"80723","Brush","Morgan","7024"
"80543","Milliken","Weld","7001"
"81635","Parachute","Garfield","6634"
"80840","U S A F Academy","El Paso","6633"
"80118","Larkspur","Douglas","6395"
"80816","Florissant","Teller","6245"
"81621","Basalt","Eagle","5929"
"81657","Vail","Eagle","5850"
"80829","Manitou Springs","El Paso","5794"
"81067","Rocky Ford","Otero","5754"
"81137","Ignacio","La Plata","5745"
"80102","Bennett","Adams","5648"
"81526","Palisade","Mesa","5582"
"81425","Olathe","Montrose","5582"
"80808","Calhan","El Paso","5544"
"81435","Telluride","San Miguel","5278"
"80514","Dacono","Weld","5278"
"80106","Elbert","Elbert","5194"
"80807","Burlington","Kit Carson","5112"
"80136","Strasburg","Adams","5026"
"81413","Cedaredge","Delta","4988"
"81652","Silt","Garfield","4946"
"81054","Las Animas","Bent","4858"
"80759","Yuma","Yuma","4828"
"80542","Mead","Weld","4776"
"81328","Mancos","Montezuma","4700"
"80422","Black Hawk","Gilpin","4618"
"80540","Lyons","Boulder","4552"
"80446","Granby","Grand","4486"
"80645","La Salle","Weld","4465"
"80530","Frederick","Weld","4460"
"81089","Walsenburg","Huerfano","4424"
"81323","Dolores","Montezuma","4418"
"80443","Frisco","Summit","4340"
"80651","Platteville","Weld","4316"
"80643","Keenesburg","Weld","4177"
"80116","Franktown","Douglas","4014"
"81252","Westcliffe","Custer","4003"
"81419","Hotchkiss","Delta","3852"
"80642","Hudson","Weld","3842"
"80913","Colorado Springs","El Paso","3753"
"81641","Meeker","Rio Blanco","3752"
"80466","Nederland","Boulder","3739"
"81125","Center","Saguache","3630"
"80758","Wray","Yuma","3628"
"81240","Penrose","Fremont","3607"
"80135","Sedalia","Douglas","3607"
"80828","Limon","Lincoln","3583"
"80814","Divide","Teller","3426"
"81224","Crested Butte","Gunnison","3374"
"81428","Paonia","Delta","3272"
"80610","Ault","Weld","3232"
"80644","Kersey","Weld","3207"
"80470","Pine","Jefferson","3186"
"80452","Idaho Springs","Clear Creek","3091"
"81432","Ridgway","Ouray","2998"
"81132","Del Norte","Rio Grande","2994"
"80734","Holyoke","Phillips","2973"
"80019","Aurora","Adams","2967"
"80117","Kiowa","Elbert","2889"
"81063","Ordway","Crowley","2867"
"81615","Snowmass Village","Pitkin","2824"
"80720","Akron","Washington","2803"
"80103","Byers","Arapahoe","2749"
"80440","Fairplay","Park","2681"
"80654","Wiggins","Morgan","2647"
"81648","Rangely","Rio Blanco","2647"
"80535","Laporte","Larimer","2613"
"80133","Palmer Lake","El Paso","2558"
"80459","Kremmling","Grand","2501"
"81639","Hayden","Routt","2361"
"81140","La Jara","Conejos","2351"
"80442","Fraser","Grand","2323"
"80547","Timnath","Larimer","2221"
"81326","Hesperus","La Plata","2203"
"80536","Livermore","Larimer","2153"
"80467","Oak Creek","Routt","2145"
"81120","Antonito","Conejos","2070"
"81069","Rye","Pueblo","2037"
"80930","Colorado Springs","El Paso","1995"
"80926","Colorado Springs","El Paso","1938"
"80447","Grand Lake","Grand","1937"
"81527","Whitewater","Mesa","1853"
"81073","Springfield","Baca","1839"
"81524","Loma","Mesa","1817"
"81151","Sanford","Conejos","1796"
"81062","Olney Springs","Crowley","1775"
"81423","Norwood","San Miguel","1751"
"81418","Eckert","Delta","1736"
"81019","Colorado City","Pueblo","1735"
"80512","Bellvue","Larimer","1708"
"81039","Fowler","Otero","1698"
"80737","Julesburg","Sedgwick","1682"
"80137","Watkins","Adams","1658"
"81654","Snowmass","Pitkin","1643"
"81022","Avondale","Pueblo","1628"
"80813","Cripple Creek","Teller","1589"
"80650","Pierce","Weld","1558"
"81047","Holly","Prowers","1523"
"80520","Firestone","Weld","1517"
"81415","Crawford","Delta","1506"
"81410","Austin","Delta","1483"
"81225","Crested Butte","Gunnison","1470"
"81525","Mack","Mesa","1468"
"81141","Manassa","Conejos","1444"
"81055","La Veta","Huerfano","1443"
"81223","Cotopaxi","Fremont","1439"
"81334","Towaoc","Montezuma","1422"
"81624","Collbran","Mesa","1408"
"80928","Colorado Springs","El Paso","1390"
"81236","Nathrop","Chaffee","1364"
"80454","Indian Hills","Jefferson","1347"
"80864","Yoder","El Paso","1333"
"80478","Tabernash","Grand","1330"
"80731","Haxtun","Phillips","1296"
"81324","Dove Creek","Dolores","1289"
"80480","Walden","Jackson","1251"
"80705","Log Lane Village","Morgan","1244"
"80648","Nunn","Weld","1243"
"80444","Georgetown","Clear Creek","1232"
"80810","Cheyenne Wells","Cheyenne","1231"
"81133","Fort Garland","Costilla","1199"
